mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
0.001123348871866862,9.529455367325842e-06,0.001386721928914388,1.844455328671603e-05,0.28322097132391544,0.896,"{'l1_ratio': 0.28322097132391544, 'alpha': 0.896}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7610594837512945
0.0011210441589355469,2.368237880985155e-06,0.0014030933380126953,3.40396276427741e-05,0.4146597729071674,0.585,"{'l1_ratio': 0.4146597729071674, 'alpha': 0.585}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7613636576267155
0.0011339982350667317,6.910940870383473e-06,0.0014951229095458984,1.6738048385598477e-05,0.4352752816480055,0.315,"{'l1_ratio': 0.4352752816480055, 'alpha': 0.315}",0.7079377922166155,0.6782235700300786,0.7364040697674419,0.7075218106713786,0.023753910806529173,81,1489,0.8148555055698237
0.0011891523996988933,2.8738643188324403e-05,0.0014847914377848308,1.6783644423439406e-06,0.12242753719835325,0.325,"{'l1_ratio': 0.12242753719835325, 'alpha': 0.325}",0.7957031418883447,0.799878326714389,0.8142848837209302,0.8032887841078878,0.007960054317564623,63,1489,0.8390605800524932
0.0011629263559977214,2.144294987238573e-06,0.0014864603678385417,8.957546745049394e-06,0.01023744846764295,0.55,"{'l1_ratio': 0.01023744846764295, 'alpha': 0.55}",0.7948322823314331,0.8106003989895558,0.8181540697674419,0.8078622503628102,0.009715950313074734,33,1489,0.8400896861856567
0.0011428197224934895,1.1520549774405635e-05,0.0014886856079101562,5.377206746431119e-06,0.1416104856619598,0.893,"{'l1_ratio': 0.1416104856619598, 'alpha': 0.893}",0.7738729780308693,0.6866758487792526,0.7853837209302325,0.7486441825801181,0.044069491306839695,78,1489,0.8251200528500162
0.0011618932088216145,2.5773723531501234e-05,0.0014874935150146484,6.1805159553602794e-06,0.3253354638604431,0.27,"{'l1_ratio': 0.3253354638604431, 'alpha': 0.27}",0.790314312360647,0.7729310909214435,0.7962529069767441,0.786499436752945,0.009895848724119945,73,1489,0.8346583205257703
0.0011289119720458984,1.2121109270561906e-05,0.0013914903004964192,8.391822211719702e-06,0.7900413118632644,0.327,"{'l1_ratio': 0.7900413118632644, 'alpha': 0.327}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7610988641873679
0.0011209646860758464,7.748501931849228e-06,0.001390377680460612,1.4993645509317164e-05,0.7474246243173635,0.522,"{'l1_ratio': 0.7474246243173635, 'alpha': 0.522}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7547587043941617
0.0011750857035319011,5.11474383980563e-06,0.001489877700805664,1.099313915576792e-05,0.007494250932228302,0.56,"{'l1_ratio': 0.007494250932228302, 'alpha': 0.56}",0.7947241969254334,0.8107949527203552,0.8182703488372093,0.807929832827666,0.009823848582665877,18,1489,0.8401590936599933
