,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
105,63.37161819140116,6.630282918222361,0.11954307556152344,0.003443652084334703,0.25478976970979744,94,4,2,632,0.9448894015065076,"{'learning_rate': 0.25478976970979744, 'max_depth': 94, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 632, 'subsample': 0.9448894015065076}",0.48152907162100544,0.42947330546475126,0.3592047114635357,0.4234023628497641,0.05012287920806519,99
106,5.548603932062785,0.18437417441268836,0.015314817428588867,0.001890450616807584,0.18061401114864886,3,4,7,678,0.878032249816245,"{'learning_rate': 0.18061401114864886, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 678, 'subsample': 0.878032249816245}",0.4996460835905189,0.47134774464163254,0.4638283692114843,0.47827406581454524,0.01542092970775496,23
107,3.2159440517425537,0.05229389022508323,0.028923511505126953,0.002560580050307163,0.09030151911334083,47,1,8,255,0.18408436188496818,"{'learning_rate': 0.09030151911334083, 'max_depth': 47, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 255, 'subsample': 0.18408436188496818}",0.4498805280082171,0.3751481409252271,0.30709699682129,0.37737522191824474,0.058312400692958045,137
108,7.573498487472534,0.13062850576248652,0.015387296676635742,0.0014960598469744074,0.2528651714457756,5,1,7,546,0.9488805026294375,"{'learning_rate': 0.2528651714457756, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 546, 'subsample': 0.9488805026294375}",0.4771808163891288,0.44783069885987126,0.3965886203269552,0.44053337852531843,0.033303790370664686,71
109,48.32882738113403,2.5233364101485414,0.12260293960571289,0.0051268201104539566,0.08108787155282403,85,3,9,686,0.7384471231628549,"{'learning_rate': 0.08108787155282403, 'max_depth': 85, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 686, 'subsample': 0.7384471231628549}",0.5075395658919071,0.45088687827663865,0.41126002488144187,0.4565621563499958,0.039510286341693436,53
110,8.955140829086304,0.1642550705718224,0.03212165832519531,0.00045792573470741077,0.27812004659010864,22,1,4,663,0.839184710927495,"{'learning_rate': 0.27812004659010864, 'max_depth': 22, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 663, 'subsample': 0.839184710927495}",0.4726409605319083,0.38457319433579373,0.35369658061232856,0.4036369118266769,0.05039517418723399,119
111,18.377208312352497,0.6710955100001188,0.10478425025939941,0.0028475803504162465,0.14952654226962195,51,4,4,874,0.28407405109071837,"{'learning_rate': 0.14952654226962195, 'max_depth': 51, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 874, 'subsample': 0.28407405109071837}",0.42414191503554766,0.31199918928202486,0.29768890404956305,0.34461000278904513,0.05654019139837685,153
112,6.719106674194336,0.3276856294909092,0.03434276580810547,0.0011660348703533394,0.23348416803786448,70,1,7,221,0.330908689903473,"{'learning_rate': 0.23348416803786448, 'max_depth': 70, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 221, 'subsample': 0.330908689903473}",0.375412715408428,0.31078698895675316,0.16018297682201188,0.282127560395731,0.09017384035693687,172
113,4.5402811368306475,0.14673289032158585,0.053908348083496094,0.002617947410165244,0.12485254929483212,47,4,9,642,0.1365545121026136,"{'learning_rate': 0.12485254929483212, 'max_depth': 47, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 642, 'subsample': 0.1365545121026136}",0.38709675171233904,0.18636216920445248,0.054308332685916616,0.2092557512009027,0.13682134344221195,179
114,7.0202421347300215,0.054493127050119335,0.03548073768615723,0.0037813590120950626,0.19728853128810253,89,3,8,238,0.39793344796336205,"{'learning_rate': 0.19728853128810253, 'max_depth': 89, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 238, 'subsample': 0.39793344796336205}",0.44827872734451535,0.36865464462725006,0.3037878679852707,0.3735737466523454,0.059090609988069615,140
115,39.852817376454674,0.8993231797113974,0.1338802973429362,0.003148230820466568,0.03913070930578123,49,4,9,912,0.5822665657603059,"{'learning_rate': 0.03913070930578123, 'max_depth': 49, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 912, 'subsample': 0.5822665657603059}",0.5046697393734683,0.45876047734611347,0.42759240453623615,0.4636742070852726,0.03165793677594737,44
116,11.356182018915812,0.15973178669632174,0.02642957369486491,0.0007280520692208908,0.06956641044727721,6,3,9,753,0.8294621106433337,"{'learning_rate': 0.06956641044727721, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 753, 'subsample': 0.8294621106433337}",0.5206414312589025,0.48594608685089746,0.4663758466073168,0.490987788239039,0.022438842573537437,9
117,38.490633964538574,2.425717152100228,0.09900323549906413,0.005293031840784983,0.04802338049428209,99,3,6,483,0.912300884738982,"{'learning_rate': 0.04802338049428209, 'max_depth': 99, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 483, 'subsample': 0.912300884738982}",0.49956873238470645,0.4590708062826805,0.41529998756750286,0.4579798420782966,0.034411219008129504,51
118,1.3901911576588948,0.08272944949753742,0.00657955805460612,0.0023709692390874956,0.07442554812067859,96,2,3,30,0.8944416862276399,"{'learning_rate': 0.07442554812067859, 'max_depth': 96, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 30, 'subsample': 0.8944416862276399}",0.49540412753383334,0.46501552512664734,0.44075763362644527,0.4670590954289753,0.02235608729597628,37
119,13.968426068623861,0.35807215886602467,0.0718379020690918,0.0034903030113514234,0.2766470152350076,84,2,8,506,0.2915483487122342,"{'learning_rate': 0.2766470152350076, 'max_depth': 84, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 506, 'subsample': 0.2915483487122342}",0.35469148592236355,0.1372068921676628,0.09484534711270676,0.19558124173424438,0.11382933857040241,180
120,30.638845364252727,0.22917321429070137,0.06498201688130696,0.003338788870236954,0.12376818061433896,14,4,8,878,0.9044788310862751,"{'learning_rate': 0.12376818061433896, 'max_depth': 14, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 878, 'subsample': 0.9044788310862751}",0.4914474028331567,0.4584188213220731,0.4105905946092556,0.4534856062548285,0.033193456355271246,58
