mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1763388156890869,0.0083966360317396,0.0436805248260498,0.008225722802351353,11,9,4,log2,4,"{'model__n_estimators': 11, 'model__min_samples_split': 9, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 4}",0.845108868826341,0.8307229909846406,0.847074273918115,0.8414569469735749,0.8398915816326531,0.8408509324670648,0.005669617396844344,380
2.145717668533325,0.05327632634852938,0.10653491020202636,0.008429001699424182,91,11,2,log2,13,"{'model__n_estimators': 91, 'model__min_samples_split': 11, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 13}",0.8533856947200716,0.8397246441268695,0.8579534043261416,0.8539405484180462,0.8492011278195488,0.8508410838821355,0.006211787432676856,194
5.032438707351685,0.10209163800995026,0.27013845443725587,0.0498387140319142,202,9,4,sqrt,15,"{'model__n_estimators': 202, 'model__min_samples_split': 9, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 15}",0.8529278586801576,0.8403685584096268,0.8581262709754657,0.8529671245674837,0.8477521929824562,0.8504284011230381,0.006005199921774879,214
3.9537221431732177,0.0745918487258242,0.20256257057189941,0.03884973589753829,223,6,1,log2,8,"{'model__n_estimators': 223, 'model__min_samples_split': 6, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 8}",0.8552335299214578,0.8426790414572267,0.8598526997127283,0.8543486591645898,0.8505157984246332,0.8525259457361273,0.005750423224221416,45
1.4062869548797607,0.06183580212583961,0.12330670356750488,0.03017450574927433,178,2,5,sqrt,2,"{'model__n_estimators': 178, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 2}",0.8455627917377085,0.825274055177468,0.8467181909980672,0.8419968056033411,0.8348773720014321,0.8388858431036035,0.007961834153010133,386
4.987363481521607,0.12418218856408841,0.40007596015930175,0.27572362437552395,201,8,4,log2,12,"{'model__n_estimators': 201, 'model__min_samples_split': 8, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 12}",0.8549375296978506,0.8417375056293548,0.8600669648476508,0.8539304785161439,0.8490002909058361,0.8519345539193672,0.006192372393357241,116
1.5963639259338378,0.041571008961732284,0.18124661445617676,0.07031642481744775,105,12,1,log2,5,"{'model__n_estimators': 105, 'model__min_samples_split': 12, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 5}",0.8526872012745619,0.8388566745267845,0.8557005434949833,0.849139442966593,0.8458492772108843,0.8484466278947614,0.005827438254042343,273
4.98029637336731,0.40384140765041454,0.7511564731597901,0.1485866045226944,153,6,5,sqrt,13,"{'model__n_estimators': 153, 'model__min_samples_split': 6, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 13}",0.8540447773709365,0.840686319758546,0.8588675276432793,0.8535517383168161,0.8490277031865378,0.8512356132552231,0.0061264086658825885,180
7.041949653625489,0.8045355493865712,0.6738101959228515,0.3113071201388387,193,15,6,sqrt,11,"{'model__n_estimators': 193, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_features': 'sqrt', 'model__max_depth': 11}",0.8548380244291025,0.8432905082782985,0.8609066827785098,0.8544143932464525,0.8493924543501612,0.8525684126165048,0.005903418524534249,38
4.933339071273804,0.1668596222354402,0.5959983825683594,0.1606356929599181,218,4,3,log2,5,"{'model__n_estimators': 218, 'model__min_samples_split': 4, 'model__min_samples_leaf': 3, 'model__max_features': 'log2', 'model__max_depth': 5}",0.8531223970707438,0.8381277255168518,0.8561402625447201,0.8491839183666618,0.8463826978159684,0.8485914002629892,0.006200535254573286,268
1.2144944190979003,0.28955194173608345,0.5114013671875,0.15364626603123166,60,9,8,log2,2,"{'model__n_estimators': 60, 'model__min_samples_split': 9, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 2}",0.8433499175447913,0.8241879043694983,0.8439744224491679,0.835437663111432,0.8308329417293233,0.8355565698408425,0.0075255546893993296,418
1.8295987129211426,0.19099943758083543,0.47780070304870603,0.1919081076767038,35,4,8,log2,11,"{'model__n_estimators': 35, 'model__min_samples_split': 4, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 11}",0.855743075160019,0.8430449145596796,0.859545008265711,0.8543307571167633,0.8491239258861439,0.8523575361976634,0.005730556465286349,67
3.370998477935791,0.38890410240487844,0.4457987308502197,0.14956297347239605,107,7,6,sqrt,9,"{'model__n_estimators': 107, 'model__min_samples_split': 7, 'model__min_samples_leaf': 6, 'model__max_features': 'sqrt', 'model__max_depth': 9}",0.8556281968862678,0.842946453296634,0.8590191356108094,0.8549142519881063,0.8495009846043682,0.8524018044772372,0.005627246105985304,62
7.529449939727783,0.5214909863857636,0.6529996395111084,0.11686144060258309,169,5,2,sqrt,15,"{'model__n_estimators': 169, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 15}",0.8511731000363362,0.8386057661377171,0.8558583052914539,0.8525721606373129,0.8483049140708916,0.8493028492347424,0.005875094902982073,253
6.904255819320679,0.6836004174130049,1.0208014965057373,0.4964601948950736,203,4,6,sqrt,9,"{'model__n_estimators': 203, 'model__min_samples_split': 4, 'model__min_samples_leaf': 6, 'model__max_features': 'sqrt', 'model__max_depth': 9}",0.8552612013304638,0.8434913468773515,0.8607567531279632,0.8540272614622058,0.8503071294307196,0.8527687384457409,0.0057224844820086395,16
