,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,dataset
9,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 851, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07075304078013192,0.9611776118036278,0.9080316579299004,phoneme
10,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1187, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07071581543795824,0.9611830095022966,0.9091420838044335,phoneme
11,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1619, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07077149481506693,0.9611089113112656,0.908216671805941,phoneme
12,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1230, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07073713160336564,0.9611462186439175,0.9087718847432077,phoneme
13,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 321, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07100726989483497,0.9606521830150079,0.9072914311165929,phoneme
14,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1363, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07077234506290145,0.961105707379172,0.9084018569911262,phoneme
15,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1062, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07074484932117871,0.9611421297202174,0.9089567273101039,phoneme
16,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 823, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07073062074111981,0.9611908474353745,0.9084016856819817,phoneme
17,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1746, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07080930656476547,0.9610346530740648,0.9072916024257376,phoneme
18,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1810, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07081168807437936,0.9610223128486337,0.9080318292390448,phoneme
19,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 750, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07079781829450806,0.9610711303544022,0.9085866995580224,phoneme
20,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1472, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07077838492216618,0.9611477479316315,0.9084018569911262,phoneme
21,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1805, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07081492829525342,0.9610124036273209,0.9082168431150854,phoneme
22,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 851, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07075304078013192,0.9611776118036278,0.9080316579299004,phoneme
23,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 847, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07075325593178616,0.961171029864045,0.908216671805941,phoneme
24,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1729, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.0708130663429708,0.9610263891929989,0.9072916024257374,phoneme
25,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 53, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07241210173596217,0.9583966999426465,0.9034064823380271,phoneme
