Iteracja;estimator__loss;estimator__max_depth;estimator__subsample;estimator__learning_rate;estimator__max_features;estimator__n_estimators;estimator__min_samples_split;Srednia dokladnosc;Czas
385;exponential;3;0.30000000000000004;0.021262343752724643;0.6000000000000001;1601;2;0.9442934782608695;7.530257844924927
386;exponential;1;0.6;0.021262343752724643;0.1;3501;64;0.9432065217391304;3.422883319854736
387;log_loss;5;0.6;0.004556754060844206;0.7500000000000001;4301;128;0.9502717391304347;63.03023958206177
388;exponential;5;1.0;0.045929202883612456;0.9000000000000001;3901;4;0.9502717391304347;100.01773352622986
389;exponential;1;1.0;0.021262343752724643;0.25;1851;4;0.941304347826087;3.273126554489136
390;exponential;11;0.8;0.021262343752724643;0.5;2251;2;0.9565217391304348;73.69505305290222
391;exponential;15;1.0;1.0;0.05;351;8;0.9540760869565219;0.9019201278686524
392;exponential;15;0.5;0.09921256574801249;0.6000000000000001;3951;4;0.9524456521739131;25.993673515319824
393;log_loss;9;0.1;0.021262343752724643;0.7500000000000001;3451;16;0.9366847826086957;23.419767665863038
394;log_loss;7;0.8;0.021262343752724643;0.2;4851;8;0.9543478260869567;39.95225343704224
395;exponential;3;0.7000000000000001;0.045929202883612456;0.6500000000000001;3901;64;0.948641304347826;34.70752944946289
396;exponential;5;0.8;0.045929202883612456;1.0;3701;4;0.9535326086956522;91.79966821670533
397;log_loss;5;0.7000000000000001;0.004556754060844206;0.9500000000000001;4601;2;0.9527173913043478;99.55798134803771
398;exponential;15;0.8;0.021262343752724643;0.5;3951;2;0.9559782608695653;89.67869668006897
399;log_loss;7;0.6;0.021262343752724643;0.8;4851;128;0.9508152173913043;106.83192000389099
400;log_loss;5;0.5;0.0009765625;0.6500000000000001;1451;128;0.923913043478261;17.38386015892029
401;exponential;1;0.5;0.21431099571326834;0.6500000000000001;1451;4;0.9410326086956522;4.394616174697876
402;exponential;7;0.7000000000000001;0.21431099571326834;0.8;851;4;0.9548913043478262;20.81721568107605
403;exponential;13;0.5;0.045929202883612456;0.2;851;8;0.9570652173913043;10.745973062515258
404;exponential;15;0.8;0.021262343752724643;0.1;3901;2;0.9581521739130434;40.08288469314575
405;log_loss;3;1.0;0.0009765625;0.25;3201;4;0.9301630434782607;16.449701642990114
406;exponential;5;0.9;0.09921256574801249;0.8500000000000001;2351;4;0.9538043478260869;55.79313197135925
407;exponential;7;0.7000000000000001;0.09921256574801249;0.8500000000000001;751;4;0.9576086956521739;21.61954460144043
408;log_loss;3;0.7000000000000001;0.045929202883612456;0.25;4601;32;0.9505434782608695;19.02816743850708
409;exponential;11;0.7000000000000001;0.09921256574801249;0.8500000000000001;3701;4;0.9557065217391305;36.53466448783875
410;log_loss;9;0.7000000000000001;0.004556754060844206;0.55;2701;128;0.9516304347826086;59.902553701400755
411;exponential;15;0.8;0.021262343752724643;0.35000000000000003;1801;4;0.9565217391304348;60.39114418029785
412;exponential;9;0.8;0.021262343752724643;0.45;4351;2;0.9576086956521739;98.6691333770752
413;exponential;13;0.8;0.021262343752724643;0.1;1401;2;0.9589673913043478;21.291124296188354
414;exponential;13;0.8;0.021262343752724643;0.7500000000000001;4801;2;0.955163043478261;132.34454083442688
415;exponential;9;0.8;0.021262343752724643;0.5;2951;2;0.95625;77.9127103805542
416;exponential;15;0.8;0.021262343752724643;0.35000000000000003;751;4;0.9559782608695653;26.118255043029784
417;exponential;9;0.4;0.021262343752724643;0.8;1151;2;0.9548913043478262;27.532891035079956
418;exponential;9;0.4;0.021262343752724643;0.9500000000000001;3051;2;0.955163043478261;85.57601742744446
419;exponential;9;0.4;0.021262343752724643;0.1;2551;16;0.9559782608695653;10.482649946212769
420;log_loss;13;0.8;0.21431099571326834;0.3;4901;16;0.9540760869565219;9.781868362426758
421;exponential;9;0.4;0.021262343752724643;0.9000000000000001;2151;2;0.9538043478260869;57.52018008232117
422;log_loss;9;0.5;0.0098431332023037;0.3;1751;2;0.9548913043478262;22.311488723754884
423;log_loss;11;0.4;0.045929202883612456;0.15000000000000002;4751;64;0.9491847826086957;23.229703998565675
424;log_loss;13;0.4;0.004556754060844206;0.55;1851;16;0.9519021739130435;42.2862151145935
425;exponential;9;0.5;0.021262343752724643;0.35000000000000003;2951;128;0.9524456521739131;31.79690647125244
426;exponential;9;0.4;0.021262343752724643;0.3;4001;2;0.95625;43.89734377861023
427;log_loss;7;0.6;0.21431099571326834;0.3;2301;8;0.9529891304347826;9.565090942382813
428;exponential;9;0.4;0.09921256574801249;0.25;1501;8;0.9535326086956522;12.658990955352783
429;exponential;9;0.8;0.021262343752724643;0.8500000000000001;1401;2;0.9565217391304348;59.38562302589416
430;log_loss;5;0.7000000000000001;0.002109491677524035;0.5;1701;16;0.9396739130434784;21.879774427413942
431;exponential;11;0.8;0.0098431332023037;0.25;4151;4;0.9581521739130434;74.68349232673646
432;exponential;9;0.8;0.021262343752724643;0.2;1751;2;0.9581521739130435;21.136858224868774
433;exponential;13;0.4;0.0098431332023037;0.15000000000000002;2151;64;0.95625;13.047795391082763
434;exponential;15;0.8;0.0098431332023037;0.15000000000000002;2051;4;0.9595108695652174;38.40083727836609
435;exponential;9;0.4;0.021262343752724643;0.2;2201;2;0.9565217391304348;17.163513088226317
436;log_loss;13;0.6;0.21431099571326834;0.55;4601;16;0.9532608695652174;14.10342960357666
437;exponential;13;0.8;0.0098431332023037;0.15000000000000002;1551;2;0.9595108695652174;28.273739099502563
438;log_loss;11;0.8;0.21431099571326834;0.15000000000000002;4551;8;0.9557065217391305;6.625269937515259
439;log_loss;1;0.6;0.21431099571326834;0.35000000000000003;1451;16;0.945108695652174;2.758139657974243
440;exponential;13;0.30000000000000004;0.004556754060844206;0.2;3451;4;0.951086956521739;33.40241379737854
441;exponential;5;0.8;0.0098431332023037;0.55;3951;32;0.9529891304347826;54.00711340904236
442;log_loss;11;0.6;0.045929202883612456;0.2;1651;16;0.9548913043478262;17.44348039627075
443;log_loss;7;0.7000000000000001;0.004556754060844206;0.35000000000000003;3751;16;0.9535326086956522;43.42991094589233
444;log_loss;7;0.6;0.004556754060844206;0.5;3501;16;0.9519021739130435;51.601896142959596
445;log_loss;9;1.0;0.045929202883612456;0.2;1001;16;0.9557065217391305;11.68477816581726
446;exponential;9;0.6;0.021262343752724643;0.8500000000000001;1401;4;0.9557065217391305;45.667047071456906
