param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
77,4,3,1,0.07298091277425311,0.7747971752209282,0.8411471758008002,0.005376089540044312,0.8435962711530893,0.8350531151033295,0.8466322020348716,0.8343280935233084,0.846126197189402
19,4,3,1,0.07461116557894196,0.7655898637884749,0.8206650004471866,0.008276221053867548,0.8226248613645308,0.8127212196921679,0.8304350185423149,0.8094737271983231,0.8280701754385964
85,4,4,5,0.0631353786994014,0.9293366772741762,0.852701253729639,0.003656704818217118,0.8556938928839755,0.8486539828915047,0.85792989555997,0.8489602709432497,0.8522682263694952
149,3,4,6,0.06954104308754924,0.7602651495850178,0.8497857675187532,0.004019037972677795,0.8494133707201889,0.8443172797369335,0.8558040606802784,0.847005901429512,0.8523882250268529
139,3,4,7,0.08004862930064094,0.7608768892080153,0.8441237574213811,0.00533255473332409,0.8464595408035491,0.8378485879701242,0.8518377003389588,0.8383173905041194,0.846155567490154
150,3,5,3,0.0638084637990376,0.7574157302560613,0.8539497355660526,0.0037320086876642027,0.8587005496225537,0.8493029219600421,0.8577265426708206,0.8506525473935305,0.8533661161833154
139,4,3,6,0.06811604329696941,0.809057094033985,0.8497648944354659,0.003246102722429564,0.8520614199849736,0.8455519422578492,0.8543926182062094,0.8468973719646016,0.849921119763695
139,2,2,5,0.07054195587549793,0.8589767804574416,0.8520430930800085,0.003453705805360885,0.8552587004937211,0.8477670062594649,0.8563226525048768,0.8484945452755279,0.8523725608664519
140,1,2,5,0.0702407261128751,0.8619588458121922,0.8518825093075595,0.004049081557170876,0.8546949348860505,0.8464431146166251,0.857325151479721,0.8481409853692212,0.8528083601861798
105,1,5,1,0.3139308206645374,0.8175019932980412,0.8505028531308977,0.0035498359152129604,0.8527260876176166,0.8467508012439491,0.8557321738955309,0.8464397580352363,0.8508654448621554
93,6,2,8,0.3808373099551677,0.8930629764477184,0.8146135152874138,0.005844886676143554,0.8166160199992846,0.8106619570100244,0.8229694221029766,0.8058944925772,0.8169256847475832
108,9,3,8,0.15038673468827823,0.8243592377137834,0.8349344387364322,0.004077901563193731,0.8344038451218204,0.8304987935887058,0.8405232239069154,0.8306380917163487,0.8386082393483709
102,10,5,5,0.07199067862764423,0.7553933391948568,0.852947834270141,0.004087409582261404,0.8558157579335264,0.8472817005336404,0.8585486253960066,0.8495580221456052,0.8535350653419264
121,8,5,5,0.06158495929525551,0.7555988078278868,0.8529421839414292,0.0037149780322405066,0.8561886202640334,0.8482646194503822,0.8577654230719097,0.8493006842391162,0.8531915726817043
128,10,3,5,0.07655077414997283,0.7538317282531347,0.8511493050409523,0.003935840951144929,0.8544165459196451,0.8463094107912974,0.855846857092988,0.8467228297323741,0.8524508816684567
129,9,3,4,0.08369179167109654,0.7568060210962414,0.8526442821790553,0.003124148091228085,0.8554616225716433,0.848524474792913,0.8568672578352399,0.8502371704466435,0.8521308852488363
128,9,3,5,0.07885078468017927,0.753331975970005,0.8509159136104939,0.003558191476134986,0.8532616230188544,0.8470017057027759,0.8559425196625741,0.8468168140112657,0.8515569056569996
110,4,2,4,0.14126166691776015,0.7569138819117234,0.8503568822240961,0.003557738260836796,0.8524496552001717,0.8459119356118181,0.8558088158372461,0.847286735405724,0.8503272690655209
146,1,2,5,0.06245105947513779,0.8649750162553551,0.8517298676841293,0.003933358598800388,0.8552631726056312,0.8475538633412643,0.856476216103423,0.8468070239822146,0.8525490623881131
11,9,5,7,0.37492501976165654,0.839994516119591,0.8426514419873097,0.004801601003484785,0.8479515491395656,0.8416087982711369,0.8479776317416238,0.8354298913642434,0.8402893394199786
118,10,5,8,0.05467224596681285,0.7531971989127464,0.8483292856578775,0.004500436247932005,0.852039059425423,0.8428068181118894,0.8544776516013971,0.8439469369236821,0.8483759622269962
98,9,3,4,0.19400771787011056,0.9681626638618488,0.8489617270316501,0.0031573663320328253,0.8516142087939608,0.8452529267991136,0.853686617254059,0.847136248673451,0.8471186336376655
95,8,5,7,0.05531723222783038,0.7500478354169064,0.8509121309811654,0.0034462497674689857,0.8542320713033523,0.8463675915353731,0.8554085435066093,0.8482422422411223,0.8503102063193699
114,8,5,8,0.06165857377341247,0.7556818649728467,0.8471082879080744,0.0032896687776564674,0.8496727532109765,0.8431754826344464,0.8517968619320594,0.8439363077492836,0.8469600340136054
103,8,5,1,0.07199067862764423,0.7522819848102624,0.8445228592375843,0.004465409735176101,0.8468315646130729,0.8388989182297613,0.8487991550365783,0.8393523364323904,0.848732321876119
84,8,5,1,0.06963243053372101,0.7509013495491113,0.8418189670648211,0.005334477700425233,0.8452898040320561,0.8354366045270214,0.8470814245107642,0.8352100352832648,0.8460769669709988
146,1,5,1,0.054847957162380896,0.8331522420417692,0.8448266132692697,0.004389108695273201,0.846944764945798,0.839705896338697,0.8491929939195529,0.8393688396242196,0.8489205715180809
123,7,5,5,0.053601237503025145,0.7555988078278868,0.853167526340029,0.004450406538241652,0.8572873622589532,0.8474405787193859,0.8589427439940969,0.8491834836056174,0.8529834631220911
107,8,5,4,0.057179677305673506,0.7557540824693539,0.8534691112746617,0.0038403890833111306,0.8569458047118171,0.8483174856072587,0.8582745045825727,0.8500164752203176,0.8537912862513426
42,10,2,8,0.48987281288500106,0.9873297056039203,0.8178090781462426,0.006532011639940619,0.8167384440628243,0.8070676177726509,0.8274940938153311,0.8182606978444594,0.819484537235947
114,8,5,5,0.051022339647405816,0.7558904582018054,0.8530442804305028,0.00393572104736111,0.8561888997710279,0.8480967903809329,0.8582773017337303,0.8491138345417959,0.8535445757250268
103,7,5,5,0.05677237295858805,0.7558722420154671,0.8531490408132208,0.003924651997222774,0.8563314483381632,0.8481208458808873,0.8582593999663223,0.84926292269849,0.8537705871822413
117,7,5,4,0.05806291297883431,0.7558539964235694,0.8536093011764126,0.003614607697150869,0.8569667677363957,0.8487465685948177,0.8581676534083564,0.8505065361031097,0.8536589800393841
113,9,5,5,0.05591353483148052,0.7555908304525623,0.852966639090677,0.0037513063694270933,0.8565175999964224,0.8483074158630919,0.857219139450852,0.8488433500248667,0.8539456901181524
105,8,5,5,0.05736635700104471,0.7556818649728467,0.8534864123678482,0.003902705790231735,0.8568426666308899,0.8488483848969501,0.8588026067211066,0.8496010982734306,0.8533373053168635
125,6,5,5,0.0512171903126236,0.7555988078278868,0.85322665693581,0.0038964706408095144,0.8561690547744266,0.8485351039673115,0.8588420465524272,0.8495275331979886,0.8530595461868957
123,5,5,5,0.051244167056954004,0.7555988078278868,0.8534698472814446,0.004094097475014416,0.856883754159064,0.8484310499442529,0.859056308331091,0.849525854907294,0.853452269065521
120,6,5,5,0.05471203087279697,0.7553397605194728,0.85304899795822,0.004129953601157479,0.8553193535115022,0.8479510588056276,0.8590451197264608,0.8488990133329007,0.8540304444146081
49,7,4,4,0.16795316715785522,0.8449817389750301,0.8533899891159529,0.0038160128733890045,0.8570506198347108,0.848434126810526,0.8585964566807998,0.8512189705029223,0.8516497717508056
125,5,5,5,0.05470365212554518,0.7555854605267013,0.8529713859576544,0.00414456535298208,0.8565701473113664,0.8479460239335441,0.8582026177978253,0.8485118876127041,0.8536262531328321
123,5,5,5,0.054888018176628604,0.7554795925541792,0.8527916068070873,0.0034963921949972047,0.8553045396407999,0.8479558139625953,0.8569497737943859,0.8493790044715257,0.8543689021661296
121,6,5,5,0.054841584176716335,0.755205794703552,0.8532088892800264,0.004007490020674575,0.8564021636077421,0.8481510551133882,0.8585287656227885,0.8492173291346229,0.8537451329215897
119,7,1,7,0.13151793278160637,0.9443518904621883,0.8415150311563435,0.0035805127320803175,0.841864445815892,0.8379632711675813,0.8470982074177091,0.837378666575666,0.8432705648048693
