Iteracja;estimator__max_depth;estimator__max_features;estimator__max_samples;estimator__min_samples_split;estimator__n_estimators;Srednia dokladnosc;Czas
87;14;sqrt;0.5818181818181818;0.3747474747474747;1235;0.7413889709370497;13.656001758575439
88;18;sqrt;0.23636363636363636;0.3222222222222222;731;0.5067345130367069;6.437678861618042
89;10;sqrt;0.9181818181818181;0.45959595959595956;929;0.7395939063576882;9.807269048690795
90;12;log2;0.7454545454545454;0.2898989898989899;761;0.7443807452359854;8.772855710983276
91;19;log2;0.5909090909090909;0.36262626262626263;975;0.742585680656624;9.107807445526124
92;17;log2;0.6272727272727272;0.4353535353535354;369;0.7419868782614144;3.639477777481079
93;8;sqrt;0.49090909090909085;0.44747474747474747;1683;0.5067345130367069;12.337060737609864
94;15;log2;0.7181818181818181;0.4797979797979798;144;0.7410904648102898;1.5643296241760254
95;4;sqrt;0.18181818181818182;0.10404040404040404;1819;0.7437832854470431;15.29778232574463
96;13;log2;0.5545454545454546;0.45151515151515154;1792;0.5067345130367069;13.65861668586731
97;18;sqrt;0.9272727272727272;0.49595959595959593;782;0.7398933075552929;8.695069360733033
98;8;log2;0.32727272727272727;0.23333333333333334;139;0.7425852331212015;1.4956641674041748
99;2;sqrt;0.9272727272727272;0.3383838383838384;918;0.7422853843881744;10.853762865066528
100;11;sqrt;0.8818181818181817;0.2090909090909091;1412;0.7494683279181548;17.40894842147827
101;14;sqrt;0.4545454545454546;0.2656565656565657;1895;0.7410895697394448;16.147183847427367
102;10;sqrt;0.9090909090909091;0.3181818181818182;1453;0.7431831404455662;14.703203535079956
103;19;log2;0.38181818181818183;0.1686868686868687;1554;0.7467755072814014;13.34761929512024
104;11;sqrt;0.6818181818181818;0.3909090909090909;1963;0.7404921099505025;16.684737062454225
105;14;log2;0.5909090909090909;0.22525252525252526;187;0.7428855293896512;1.861146879196167
106;2;sqrt;0.15454545454545454;0.41515151515151516;1041;0.5067345130367069;6.628252696990967
107;6;log2;0.9818181818181817;0.12424242424242425;491;0.7731174422455538;6.9931010723114015
108;12;sqrt;0.5727272727272728;0.3666666666666667;1338;0.7422867269944416;11.425347805023193
109;3;sqrt;0.36363636363636365;0.2777777777777778;1344;0.7413885234016273;11.016574382781982
110;5;sqrt;0.47272727272727266;0.491919191919192;470;0.5067345130367069;3.4228234767913817
111;4;log2;0.13636363636363635;0.45151515151515154;1306;0.5067345130367069;9.005218315124512
112;13;log2;0.8454545454545453;0.297979797979798;564;0.7431840355164112;5.913104581832886
113;12;log2;0.5636363636363636;0.2898989898989899;1563;0.7407892734709952;13.07191023826599
114;5;log2;0.9272727272727272;0.23737373737373738;1782;0.7473729670703436;19.309851694107056
115;13;log2;0.5545454545454546;0.4757575757575757;744;0.5067345130367069;4.934471511840821
116;8;sqrt;0.6454545454545454;0.36262626262626263;1572;0.7419873257968368;13.19411234855652
